accession,category,3OH
CS0000126,SCFA,
CS0000291,LCFA,0
CS0000296,AR,
CS0000305,LCFA,1
CS0000306,LCFA,0
CS0000309,AR,
CS0000315,SCFA,0
CS0000323,LCFA,1
CS0000336,LCFA,0
CS0000339,AR,
CS0000341,LCFA,0
CS0000343,AR,
CS0000346,SCFA,
CS0000349,SCFA,
CS0000350,FA,
CS0000354,LCFA,0
CS0000359,AR,
CS0000362,LCFA,1
CS0000363,LCFA,
CS0000364,LCFA,
CS0000368,AR,
CS0000369,LCFA,1
CS0000371,AR,
CS0000374,AR,
CS0000379,LCFA,0
CS0000381,LCFA,1
CS0000383,LCFA,0
CS0000392,AR,
CS0000398,LCFA,1
CS0000399,LCFA,1
CS0000400,LCFA,0
CS0000401,AR,
CS0000403,SCFA,1
CS0000407,LCFA,1
CS0000408,MCFA,0
CS0000411,SCFA,0
CS0000415,AR,
CS0000417,AR,
CS0000425,MCFA,1
CS0000429,AR,
CS0000431,LCFA,0
CS0000433,LCFA,1
CS0000434,AR,
CS0000435,LCFA,1
CS0000437.1,LCFA,1
CS0000437.2,LCFA,1
CS0000438,LCFA,1
CS0000439,MCFA,0
CS0000443,LCFA,1
CS0000445,AR,
CS0000447,MCFA,1
CS0000449,MCFA,1
CS0000450,AR,
CS0000454,AR,
CS0000460,AR,
CS0000461,MCFA,1
CS0000464.1,SCFA,0
CS0000464.2,SCFA,0
CS0000958,AR,
CS0000972,LCFA,0
CS0000985,LCFA,1
CS0000997,LCFA,0
CS0001033,FA,
CS0001036,LCFA,1
CS0001039,AR,
CS0001050,LCFA,0
CS0001095,LCFA,1
CS0001113,SCFA,0
CS0001114,SCFA,0
CS0001116,AR,
CS0001127,LCFA,1
CS0001133,MCFA,0
CS0001149,LCFA,1
CS0001152,LCFA,1
CS0001153,MCFA,0
CS0001185,AR,
CS0001192,MCFA,0
CS0001203,MCFA,0
CS0001211,SCFA,
CS0001216,AR,
CS0001228,AR,
CS0001230,MCFA,1
CS0001297,AR,
CS0001345,AR,
CS0001346,LCFA,1
CS0001363,LCFA,0
CS0001370,SCFA,0
CS0001389,LCFA,1
CS0001414,SCFA,
CS0001416.1,LCFA,1
CS0001416.2,LCFA,1
CS0001437,AR,
CS0001448,LCFA,0
CS0001455,AR,
CS0001502,AR,
CS0001509,LCFA,1
CS0001519,LCFA,1
CS0001524,MCFA,0
CS0001536,MCFA,0
CS0001567,AR,
CS0001574,SCFA,0
CS0001599,MCFA,0
CS0001608,LCFA,0
CS0001614,LCFA,1
CS0001628,AR,
CS0001629,LCFA,1
CS0001657,MCFA,1
CS0001686,MCFA,0
CS0001695,AR,
CS0001715,LCFA,1
CS0001716,SCFA,0
CS0001752,AR,
CS0001758,SCFA,
CS0001767,SCFA,
CS0001791,LCFA,1
CS0001796,MCFA,0
CS0001806,SCFA,0
CS0001825,AR,
CS0001826,AR,
CS0001833.1,MCFA,1
CS0001833.2,LCFA,1
CS0001842,LCFA,1
CS0001843,MCFA,0
CS0001844,MCFA,0
CS0001873,SCFA,0
CS0001876,LCFA,0
CS0001890,AR,
CS0001918,AR,
CS0001919,AR,
CS0001967,MCFA,0
CS0001968,LCFA,0
CS0001980,LCFA,1
CS0001984,LCFA,0
CS0002014,AR,
CS0002017,AR,
CS0002037,SCFA,0
CS0002044,LCFA,1
CS0002048,AR,
CS0002050,SCFA,1
CS0002071,LCFA,1
CS0002092,LCFA,1
CS0002100,MCFA,0
CS0002108,AR,
CS0002109,AR,
CS0002118,SCFA,0
CS0002119,MCFA,0
CS0002125.1,SCFA,0
CS0002125.2,SCFA,
CS0002135,LCFA,0
CS0002147,SCFA,0
CS0002314,SCFA,
CS0002324,AR,
CS0002326,AR,
CS0002327,LCFA,0
CS0002336,LCFA,0
CS0002351,LCFA,1
CS0002359,MCFA,1
CS0002367,LCFA,0
CS0002373,AR,
CS0002377,AR,
CS0002378,AR,
CS0002379,LCFA,1
CS0002384,MCFA,1
CS0002413,AR,
CS0002414,AR,
CS0002415,AR,
CS0002424,LCFA,0
CS0002430,MCFA,0
CS0002432,MCFA,0
CS0002448,MCFA,0
CS0002466,SCFA,
CS0002467,SCFA,
CS0002473,AR,
CS0002491,AR,
CS0002492,AR,
CS0002493,AR,
CS0002494,AR,
CS0002495,AR,
CS0002518,LCFA,1
CS0002521,SCFA,0
CS0002522,LCFA,1
CS0002528.1,AR,
CS0002528.2,AR,
CS0002529,AR,
CS0002548,LCFA,1
CS0002564,LCFA,1
CS0002581,SCFA,
CS0002638,SCFA,0
CS0002653,MCFA,0
CS0002654,LCFA,1
CS0002660,SCFA,0
CS0002661,SCFA,0
CS0002666,SCFA,0
CS0002676,AR,
CS0002680,AR,
CS0002685,AR,
CS0002688,AR,
CS0002689,AR,
CS0002695,AR,
CS0002696,AR,
CS0002697,LCFA,0
CS0002719,LCFA,1
CS0002735,LCFA,0
